cms,aantal
WordPress,411
Joomla,6
Drupal,69
Prestashop,87
Sitecore,7
Shopify,197
Magento,111
Wix,71
JouwWeb,2
Plesk,101
One.com,25
OpenCart,13
Weebly,9
TYPO3,3
Gatsby,1
DotNetNuke,3
Craft CMS,11
ExpressionEngine,3
nopCommerce,10
Jimdo,12
ProcessWire,1
Odoo,2
RapidWeaver,2
